step,x,y,type,pole,arc_deg
152,-66.312,-240.916,wrap,2,0
153,-68.5041,-242.6264,wrap,2,0
154,-70.7828,-244.2194,wrap,2,0
155,-73.142,-245.6908,wrap,2,0
156,-75.5751,-247.0364,wrap,2,0
157,-78.0755,-248.2526,wrap,2,0
158,-80.6361,-249.336,wrap,2,0
159,-83.2501,-250.2836,wrap,2,0
160,-85.9101,-251.0928,wrap,2,0
161,-88.609,-251.7614,wrap,2,0
162,-91.3391,-252.2876,wrap,2,0
163,-94.0931,-252.6698,wrap,2,0
164,-96.8634,-252.9071,wrap,2,0
165,-99.6423,-252.9988,wrap,2,0
166,-102.4222,-252.9446,wrap,2,0
167,-105.1954,-252.7447,wrap,2,0
168,-107.9543,-252.3997,wrap,2,0
169,-110.6914,-251.9104,wrap,2,0
170,-113.399,-251.2783,wrap,2,0
171,-116.0697,-250.5051,wrap,2,0
172,-118.6962,-249.5929,wrap,2,0
173,-121.2713,-248.5441,wrap,2,0
174,-123.7878,-247.3618,wrap,2,0
175,-126.2388,-246.0492,wrap,2,0
176,-128.6176,-244.6098,wrap,2,0
177,-130.9177,-243.0476,wrap,2,0
178,-133.1327,-241.3669,wrap,2,0
179,-135.2565,-239.5725,wrap,2,0
180,-137.2833,-237.6691,wrap,2,0
181,-139.2074,-235.662,wrap,2,0
182,-141.0237,-233.5568,wrap,2,0
183,-142.727,-231.3592,wrap,2,0
184,-144.3128,-229.0754,wrap,2,0
185,-145.7766,-226.7115,wrap,2,0
186,-147.1144,-224.2741,wrap,2,0
187,-148.3226,-221.7699,wrap,2,0
188,-149.3978,-219.2057,wrap,2,0
189,-150.337,-216.5888,wrap,2,0
190,-151.1377,-213.9261,wrap,2,0
191,-151.7976,-211.2252,wrap,2,0
192,-152.315,-208.4933,wrap,2,0
193,-152.6885,-205.7381,wrap,2,0
194,-152.9169,-202.9671,wrap,2,0
195,-152.9997,-200.1879,wrap,2,0
196,-152.9366,-197.4082,wrap,2,0
197,-152.7278,-194.6356,wrap,2,0
198,-152.3739,-191.8778,wrap,2,0
199,-151.8759,-189.1424,wrap,2,0
200,-151.2351,-186.4368,wrap,2,0
201,-150.4534,-183.7686,wrap,2,0
202,-149.5327,-181.145,wrap,2,0
203,-148.4758,-178.5733,wrap,2,0
204,-147.2854,-176.0606,wrap,2,0
205,-145.9649,-173.6138,wrap,2,0
206,-144.5179,-171.2396,wrap,2,0
207,-142.9483,-168.9445,wrap,2,0
208,-141.2606,-166.735,wrap,2,0
209,-139.4593,-164.6169,wrap,2,0
210,-137.5494,-162.5963,wrap,2,0
211,-135.5362,-160.6785,wrap,2,0
212,-133.4252,-158.869,wrap,2,0
213,-131.2222,-157.1727,wrap,2,0
214,-128.9333,-155.5943,wrap,2,0
215,-126.5647,-154.1381,wrap,2,0
216,-124.123,-152.8081,wrap,2,0
217,-121.615,-151.6079,wrap,2,0
218,-119.0474,-150.541,wrap,2,0
219,-116.4274,-149.6101,wrap,2,0
220,-113.7623,-148.818,wrap,2,0
221,-111.0592,-148.1667,wrap,2,0
222,-108.3257,-147.658,wrap,2,0
223,-105.5693,-147.2934,wrap,2,0
224,-102.7976,-147.0739,wrap,2,0
225,-100.0181,-147.0,wrap,2,0
226,-97.2387,-147.072,wrap,2,0
227,-94.4668,-147.2896,wrap,2,0
228,-91.7101,-147.6523,wrap,2,0
229,-88.9763,-148.1591,wrap,2,0
230,-86.2728,-148.8086,wrap,2,0
231,-83.6071,-149.5989,wrap,2,0
232,-80.9864,-150.5279,wrap,2,0
233,-78.4182,-151.5931,wrap,2,0
234,-75.9093,-152.7916,wrap,2,0
235,-73.4667,-154.1199,wrap,2,0
236,-71.0971,-155.5745,wrap,2,0
237,-68.8071,-157.1514,wrap,2,0
238,-66.603,-158.8462,wrap,2,0
239,-64.4907,-160.6542,wrap,2,0
240,-62.4762,-162.5706,wrap,2,0
241,-60.5649,-164.5899,wrap,2,0
242,-58.7622,-166.7067,wrap,2,0
243,-57.0729,-168.9152,wrap,2,0
244,-55.5018,-171.2091,wrap,2,0
245,-54.0532,-173.5824,wrap,2,0
246,-52.731,-176.0283,wrap,2,0
247,-51.5389,-178.5402,wrap,2,0
248,-50.4802,-181.1111,wrap,2,0
249,-49.5578,-183.7341,wrap,2,0
250,-48.7741,-186.4018,wrap,2,0
251,-48.1315,-189.1069,wrap,2,0
252,-47.6316,-191.842,wrap,2,0
253,-47.2759,-194.5996,wrap,2,0
254,-47.0652,-197.372,wrap,2,0
255,-47.0002,-200.1516,wrap,2,0
256,-47.0811,-202.9309,wrap,2,0
257,-47.3076,-205.702,wrap,2,0
258,-47.6792,-208.4575,wrap,2,0
259,-48.1947,-211.1897,wrap,2,0
260,-48.8528,-213.8911,wrap,2,0
261,-49.6517,-216.5543,wrap,2,0
262,-50.5891,-219.1719,wrap,2,0
263,-51.6625,-221.7368,wrap,2,0
264,-52.869,-224.2418,wrap,2,0
265,-54.2051,-226.6801,wrap,2,0
266,-55.6673,-229.045,wrap,2,0
267,-57.2515,-231.33,wrap,2,0
268,-58.9534,-233.5287,wrap,2,0
269,-60.7682,-235.6352,wrap,2,0
270,-62.691,-237.6435,wrap,2,0
271,-64.7164,-239.5483,wrap,2,0
272,-66.839,-241.3443,wrap,2,0
273,-69.0528,-243.0264,wrap,2,0
274,-71.3518,-244.5902,wrap,2,0
275,-73.7297,-246.0312,wrap,2,0
276,-76.1798,-247.3455,wrap,2,0
277,-78.6955,-248.5296,wrap,2,0
278,-81.2698,-249.5801,wrap,2,0
279,-83.8957,-250.4941,wrap,2,0
280,-86.5659,-251.2692,wrap,2,0
281,-89.2731,-251.9031,wrap,2,0
282,-92.0098,-252.3942,wrap,2,0
283,-94.7685,-252.7412,wrap,2,0
284,-97.5416,-252.943,wrap,2,0
285,-100.3214,-252.999,wrap,2,0
286,-103.1004,-252.9092,wrap,2,0
287,-105.8708,-252.6738,wrap,2,0
288,-108.6251,-252.2935,wrap,2,0
289,-111.3556,-251.7692,wrap,2,0
290,-114.0549,-251.1024,wrap,2,0
291,-116.7155,-250.295,wrap,2,0
292,-119.3301,-249.3492,wrap,2,0
293,-121.8915,-248.2676,wrap,2,0
294,-124.3927,-247.0531,wrap,2,0
295,-126.8267,-245.7092,wrap,2,0
296,-129.1869,-244.2394,wrap,2,0
297,-131.4667,-242.6479,wrap,2,0
298,-133.66,-240.939,wrap,2,0
299,-135.7606,-239.1175,wrap,2,0
300,-137.7629,-237.1883,wrap,2,0
301,-139.6611,-235.1567,wrap,2,0
302,-141.4503,-233.0284,wrap,2,0
303,-143.1253,-230.8092,wrap,2,0
304,-144.6817,-228.5052,wrap,2,0
305,-146.1151,-226.1227,wrap,2,0
306,-147.4216,-223.6684,wrap,2,0
307,-148.5976,-221.1489,wrap,2,0
308,-149.6398,-218.5712,wrap,2,0
309,-150.5454,-215.9424,wrap,2,0
310,-151.3119,-213.2698,wrap,2,0
311,-151.9372,-210.5606,wrap,2,0
312,-152.4196,-207.8223,wrap,2,0
313,-152.7577,-205.0625,wrap,2,0
314,-152.9506,-202.2888,wrap,2,0
315,-152.9977,-199.5088,wrap,2,0
316,-152.899,-196.7302,wrap,2,0
317,-152.6548,-193.9605,wrap,2,0
318,-152.2656,-191.2075,wrap,2,0
319,-151.7326,-188.4786,wrap,2,0
320,-151.0572,-185.7815,wrap,2,0
321,-150.2412,-183.1235,wrap,2,0
322,-149.2871,-180.5119,wrap,2,0
323,-148.1972,-177.954,wrap,2,0
324,-146.9748,-175.4567,wrap,2,0
325,-145.623,-173.027,wrap,2,0
326,-144.1457,-170.6716,wrap,2,0
327,-142.5469,-168.3968,wrap,2,0
328,-140.831,-166.209,wrap,2,0
329,-139.0027,-164.1142,wrap,2,0
330,-137.0671,-162.1182,wrap,2,0
331,-135.0295,-160.2264,wrap,2,0
332,-132.8954,-158.4441,wrap,2,0
333,-130.6709,-156.7762,wrap,2,0
334,-128.3619,-155.2272,wrap,2,0
335,-125.9749,-153.8015,wrap,2,0
336,-123.5164,-152.5028,wrap,2,0
337,-120.9931,-151.3349,wrap,2,0
338,-118.4121,-150.301,wrap,2,0
339,-115.7804,-149.4038,wrap,2,0
340,-113.1053,-148.6458,wrap,2,0
341,-110.3942,-148.0292,wrap,2,0
342,139.6058,-98.0292,move,5,0
343,142.3513,-97.5548,wrap,5,647.65
344,145.1179,-97.2253,wrap,5,0
345,147.898,-97.0417,wrap,5,0
346,150.6839,-97.0044,wrap,5,0
347,153.4679,-97.1136,wrap,5,0
348,156.2424,-97.3689,wrap,5,0
349,158.9995,-97.7697,wrap,5,0
350,161.7319,-98.3148,wrap,5,0
351,164.4317,-99.0027,wrap,5,0
352,167.0918,-99.8316,wrap,5,0
353,169.7045,-100.7991,wrap,5,0
354,172.2628,-101.9025,wrap,5,0
355,174.7596,-103.1389,wrap,5,0
356,177.188,-104.5048,wrap,5,0
357,179.5413,-105.9964,wrap,5,0
358,181.8129,-107.6097,wrap,5,0
359,183.9966,-109.34,wrap,5,0
360,186.0863,-111.1827,wrap,5,0
361,188.0763,-113.1327,wrap,5,0
362,189.9611,-115.1846,wrap,5,0
363,191.7355,-117.3327,wrap,5,0
364,193.3945,-119.5711,wrap,5,0
365,194.9336,-121.8935,wrap,5,0
366,196.3485,-124.2937,wrap,5,0
367,197.6354,-126.7649,wrap,5,0
368,198.7906,-129.3002,wrap,5,0
369,199.8109,-131.8928,wrap,5,0
370,200.6937,-134.5354,wrap,5,0
371,201.4363,-137.2208,wrap,5,0
372,202.0368,-139.9415,wrap,5,0
373,202.4935,-142.6899,wrap,5,0
374,202.8051,-145.4586,wrap,5,0
375,202.9708,-148.2398,wrap,5,0
376,202.9901,-151.0259,wrap,5,0
377,202.8629,-153.8092,wrap,5,0
378,202.5897,-156.5819,wrap,5,0
379,202.1712,-159.3364,wrap,5,0
380,201.6084,-162.0652,wrap,5,0
381,200.9031,-164.7606,wrap,5,0
382,200.0571,-167.4152,wrap,5,0
383,199.0727,-170.0217,wrap,5,0
384,197.9528,-172.5728,wrap,5,0
385,196.7003,-175.0616,wrap,5,0
386,195.3188,-177.4811,wrap,5,0
387,193.812,-179.8246,wrap,5,0
388,192.1841,-182.0858,wrap,5,0
389,190.4397,-184.2583,wrap,5,0
390,188.5835,-186.3361,wrap,5,0
391,186.6207,-188.3135,wrap,5,0
392,184.5567,-190.185,wrap,5,0
393,182.3972,-191.9454,wrap,5,0
394,180.1482,-193.59,wrap,5,0
395,177.8159,-195.114,wrap,5,0
396,175.4067,-196.5135,wrap,5,0
397,172.9272,-197.7843,wrap,5,0
398,170.3844,-198.9231,wrap,5,0
399,167.7853,-199.9268,wrap,5,0
400,165.1371,-200.7924,wrap,5,0
401,162.447,-201.5177,wrap,5,0
402,159.7225,-202.1006,wrap,5,0
403,156.9711,-202.5395,wrap,5,0
404,154.2005,-202.8333,wrap,5,0
405,151.4182,-202.981,wrap,5,0
406,148.6321,-202.9823,wrap,5,0
407,145.8497,-202.8373,wrap,5,0
408,143.0788,-202.5461,wrap,5,0
409,140.327,-202.1098,wrap,5,0
410,137.602,-201.5295,wrap,5,0
411,134.9112,-200.8068,wrap,5,0
412,132.2621,-199.9436,wrap,5,0
413,129.662,-198.9425,wrap,5,0
414,127.1182,-197.8061,wrap,5,0
415,124.6376,-196.5376,wrap,5,0
416,122.227,-195.1405,wrap,5,0
417,119.8932,-193.6186,wrap,5,0
418,117.6426,-191.9762,wrap,5,0
419,115.4815,-190.2178,wrap,5,0
420,113.4157,-188.3482,wrap,5,0
421,111.451,-186.3727,wrap,5,0
422,109.5928,-184.2967,wrap,5,0
423,107.8464,-182.1259,wrap,5,0
424,106.2164,-179.8663,wrap,5,0
425,104.7074,-177.5241,wrap,5,0
426,103.3235,-175.1059,wrap,5,0
427,102.0687,-172.6184,wrap,5,0
428,100.9463,-170.0683,wrap,5,0
429,99.9595,-167.4627,wrap,5,0
430,99.111,-164.8089,wrap,5,0
431,98.403,-162.1142,wrap,5,0
432,97.8377,-159.386,wrap,5,0
433,97.4166,-156.6319,wrap,5,0
434,97.1407,-153.8594,wrap,5,0
435,97.0109,-151.0763,wrap,5,0
436,97.0276,-148.2902,wrap,5,0
437,97.1906,-145.5088,wrap,5,0
438,97.4996,-142.7398,wrap,5,0
439,97.9537,-139.9909,wrap,5,0
440,98.5516,-137.2697,wrap,5,0
441,99.2917,-134.5836,wrap,5,0
442,100.1719,-131.9402,wrap,5,0
443,101.1898,-129.3466,wrap,5,0
444,102.3426,-126.8101,wrap,5,0
445,103.6271,-124.3377,wrap,5,0
446,105.0397,-121.9363,wrap,5,0
447,106.5766,-119.6123,wrap,5,0
448,108.2335,-117.3724,wrap,5,0
449,110.0058,-115.2226,wrap,5,0
450,111.8887,-113.1689,wrap,5,0
451,113.8768,-111.2171,wrap,5,0
452,115.9648,-109.3723,wrap,5,0
