step,x,y,type,pole,arc_deg
155,-27.05,-109.5026,wrap,2,0
156,-25.4881,-84.6758,wrap,2,0
157,-11.7091,-63.9648,wrap,2,0
158,10.5864,-52.9321,wrap,2,0
159,260.5864,-2.9321,move,5,0
160,263.0729,-2.5025,wrap,5,647.65
161,287.8456,-5.4407,wrap,5,0
162,307.7982,-20.4145,wrap,5,0
163,317.5412,-43.3796,wrap,5,0
164,314.4432,-68.1328,wrap,5,0
165,299.3409,-87.9883,wrap,5,0
166,276.3135,-97.583,wrap,5,0
167,251.5807,-94.3253,wrap,5,0
168,231.8231,-79.0951,wrap,5,0
169,222.3773,-56.0062,wrap,5,0
170,225.7945,-31.295,wrap,5,0
171,241.1519,-11.6361,wrap,5,0
172,264.3012,-2.3395,wrap,5,0
173,288.9899,-5.9162,wrap,5,0
174,308.5492,-21.4001,wrap,5,0
175,317.6963,-44.609,wrap,5,0
176,313.9604,-69.274,wrap,5,0
177,298.3505,-88.733,wrap,5,0
178,275.0831,-97.7301,wrap,5,0
179,250.4427,-93.8351,wrap,5,0
180,231.0848,-78.1,wrap,5,0
181,222.2381,-54.7749,wrap,5,0
182,222.2936,-44.6993,wrap,5,0
183,247.2936,180.3007,move,4,0
184,247.6383,182.8017,wrap,4,578.66
185,257.9581,205.527,wrap,4,0
186,278.293,219.9986,wrap,4,0
187,303.145,222.3039,wrap,4,0
188,325.7948,211.8195,wrap,4,0
189,340.1186,191.3802,wrap,4,0
190,342.2436,166.5121,wrap,4,0
191,331.5952,143.9389,wrap,4,0
192,311.0525,129.7638,wrap,4,0
193,286.1697,127.8192,wrap,4,0
194,263.6743,138.6311,wrap,4,0
195,249.6485,159.276,wrap,4,0
196,247.8845,184.1723,wrap,4,0
197,258.8592,206.5887,wrap,4,0
198,279.6054,220.4643,wrap,4,0
199,304.5138,222.0477,wrap,4,0
200,326.85,210.9107,wrap,4,0
201,340.5748,190.0644,wrap,4,0
202,341.9775,165.1451,wrap,4,0
203,330.6787,142.8904,wrap,4,0
204,328.9411,141.0589,wrap,4,0
205,53.9411,-133.9411,move,2,0
206,52.116,-135.673,wrap,2,573.69
207,29.9472,-146.958,wrap,2,0
208,5.1067,-145.631,wrap,2,0
209,-15.7337,-132.0485,wrap,2,0
210,-26.9767,-109.8583,wrap,2,0
211,-25.6028,-85.0205,wrap,2,0
212,-11.9808,-64.2058,wrap,2,0
213,10.2305,-53.0047,wrap,2,0
214,35.0658,-54.4256,wrap,2,0
215,55.8547,-68.0869,wrap,2,0
216,67.0137,-90.3195,wrap,2,0
217,65.5458,-115.152,wrap,2,0
218,51.8452,-135.915,wrap,2,0
219,29.5916,-147.0319,wrap,2,0
220,4.7619,-145.517,wrap,2,0
221,-15.9751,-131.7772,wrap,2,0
222,-27.05,-109.5026,wrap,2,0
223,-25.4881,-84.6758,wrap,2,0
224,-11.7091,-63.9648,wrap,2,0
225,10.5864,-52.9321,wrap,2,0
226,260.5864,-2.9321,move,5,0
227,263.0729,-2.5025,wrap,5,647.65
228,287.8456,-5.4407,wrap,5,0
229,307.7982,-20.4145,wrap,5,0
230,317.5412,-43.3796,wrap,5,0
231,314.4432,-68.1328,wrap,5,0
232,299.3409,-87.9883,wrap,5,0
233,276.3135,-97.583,wrap,5,0
234,251.5807,-94.3253,wrap,5,0
235,231.8231,-79.0951,wrap,5,0
236,222.3773,-56.0062,wrap,5,0
237,225.7945,-31.295,wrap,5,0
238,241.1519,-11.6361,wrap,5,0
239,264.3012,-2.3395,wrap,5,0
240,288.9899,-5.9162,wrap,5,0
241,308.5492,-21.4001,wrap,5,0
242,317.6963,-44.609,wrap,5,0
243,313.9604,-69.274,wrap,5,0
244,298.3505,-88.733,wrap,5,0
245,275.0831,-97.7301,wrap,5,0
246,250.4427,-93.8351,wrap,5,0
247,231.0848,-78.1,wrap,5,0
248,222.2381,-54.7749,wrap,5,0
249,222.2936,-44.6993,wrap,5,0
250,247.2936,180.3007,move,4,0
251,247.6364,182.7902,wrap,4,720.0
252,257.877,205.4283,wrap,4,0
253,278.0647,219.9132,wrap,4,0
254,302.7902,222.3636,wrap,4,0
255,325.4283,212.123,wrap,4,0
256,339.9132,191.9353,wrap,4,0
257,342.3636,167.2098,wrap,4,0
258,332.123,144.5717,wrap,4,0
259,311.9353,130.0868,wrap,4,0
260,287.2098,127.6364,wrap,4,0
261,264.5717,137.877,wrap,4,0
262,250.0868,158.0647,wrap,4,0
263,247.6364,182.7902,wrap,4,0
264,257.877,205.4283,wrap,4,0
265,278.0647,219.9132,wrap,4,0
266,302.7902,222.3636,wrap,4,0
267,325.4283,212.123,wrap,4,0
268,339.9132,191.9353,wrap,4,0
269,342.3636,167.2098,wrap,4,0
270,332.123,144.5717,wrap,4,0
271,311.9353,130.0868,wrap,4,0
272,287.2098,127.6364,wrap,4,0
273,264.5717,137.877,wrap,4,0
274,250.0868,158.0647,wrap,4,0
275,247.2936,180.3007,wrap,4,0
