step,x,y,type,pole,arc_deg
158,-114.6129,72.3033,wrap,3,0
159,-139.183,75.9999,wrap,3,0
160,-158.613,91.4863,wrap,3,0
161,-167.6967,114.6129,wrap,3,0
162,-164.0001,139.183,wrap,3,0
163,-148.5137,158.613,wrap,3,0
164,-125.3871,167.6967,wrap,3,0
165,-103.1461,164.9438,wrap,3,0
166,16.8539,119.9438,move,1,0
167,19.183,119.0001,wrap,1,540.0
168,38.613,103.5137,wrap,1,0
169,47.6967,80.3871,wrap,1,0
170,44.0001,55.817,wrap,1,0
171,28.5137,36.387,wrap,1,0
172,5.3871,27.3033,wrap,1,0
173,-19.183,30.9999,wrap,1,0
174,-38.613,46.4863,wrap,1,0
175,-47.6967,69.6129,wrap,1,0
176,-44.0001,94.183,wrap,1,0
177,-28.5137,113.613,wrap,1,0
178,-5.3871,122.6967,wrap,1,0
179,19.183,119.0001,wrap,1,0
180,38.613,103.5137,wrap,1,0
181,47.6967,80.3871,wrap,1,0
182,44.0001,55.817,wrap,1,0
183,28.5137,36.387,wrap,1,0
184,5.3871,27.3033,wrap,1,0
185,-16.8539,30.0562,wrap,1,0
186,-136.8539,75.0562,move,3,0
187,-139.183,75.9999,wrap,3,720.0
188,-158.613,91.4863,wrap,3,0
189,-167.6967,114.6129,wrap,3,0
190,-164.0001,139.183,wrap,3,0
191,-148.5137,158.613,wrap,3,0
192,-125.3871,167.6967,wrap,3,0
193,-100.817,164.0001,wrap,3,0
194,-81.387,148.5137,wrap,3,0
195,-72.3033,125.3871,wrap,3,0
196,-75.9999,100.817,wrap,3,0
197,-91.4863,81.387,wrap,3,0
198,-114.6129,72.3033,wrap,3,0
199,-139.183,75.9999,wrap,3,0
200,-158.613,91.4863,wrap,3,0
201,-167.6967,114.6129,wrap,3,0
202,-164.0001,139.183,wrap,3,0
203,-148.5137,158.613,wrap,3,0
204,-125.3871,167.6967,wrap,3,0
205,-100.817,164.0001,wrap,3,0
206,-81.387,148.5137,wrap,3,0
207,-72.3033,125.3871,wrap,3,0
208,-75.9999,100.817,wrap,3,0
209,-91.4863,81.387,wrap,3,0
210,-114.6129,72.3033,wrap,3,0
211,-136.8539,75.0562,wrap,3,0
